name,order,period,rade,tran_depth_ppm,tran_dur_hr,masse,masse_est,semi_au,st_mass,st_rad,st_teff,st_log_lum,Kmag,insol,t_eq,esm,disposition
Kepler-198 d,715,1.31184,1.53000,262.80000,1.77290,,2.95538,0.02290,0.97000,0.93000,5636.00000,-0.10900,12.02700,1444.52000,1727.39690,1.03034,Confirmed
Kepler-638 b,716,6.07973,1.83000,289.80000,7.34310,,4.00529,0.06320,0.88000,0.93000,5382.00000,0.53200,11.68300,872.57000,1503.83898,1.12050,Confirmed
Kepler-1313 b,717,3.83309,1.76000,461.40000,1.37200,,3.74866,0.04600,0.92000,0.85000,5453.00000,-0.32500,10.08800,227.20000,1076.29411,1.97645,Confirmed
Kepler-445 b,718,2.98415,1.58000,2598.00000,1.03040,,3.12122,0.02170,0.18000,0.21000,3157.00000,-2.10000,12.61000,17.66000,564.06612,1.33293,Confirmed
TOI-6066.01,721,1.82676,1.93003,149.00000,2.93100,,4.38403,0.03153,1.25300,1.65430,6335.00000,0.59891,8.10200,3994.73841,2212.74804,4.51762,Candidate
TOI-6074.01,722,12.13245,1.56909,171.27643,1.57517,,3.08472,0.10536,1.06000,1.01593,5865.00000,0.04149,5.95400,99.11654,878.20601,2.91518,Candidate
TOI-6078.01,723,9.67046,1.98499,481.86642,2.72201,,4.59811,0.08545,0.89000,0.86356,5212.00000,-0.30470,7.96400,67.90399,798.97593,2.98448,Candidate
TOI-1446.02,724,4.50571,1.67169,401.99259,2.09924,,3.43492,0.05112,0.87800,0.83031,5180.00000,-0.34951,9.49000,171.10677,1006.64578,2.10038,Candidate
TOI-6082.01,725,3.59415,1.49256,84.49176,1.77634,,2.83364,0.04553,0.97500,1.38695,5541.00000,0.21317,7.81000,787.93754,1474.62919,1.81666,Candidate
TOI-6086.01,726,1.38886,0.96506,1372.51368,0.82670,,0.85554,0.01488,0.22788,0.25646,3300.00000,-2.15322,9.98900,31.73563,660.61230,3.58567,Candidate
TOI-836 b,727,3.81673,1.70400,580.00000,1.80500,4.53000,,0.04220,0.68000,0.67000,4552.00000,-0.85300,6.80400,78.84000,829.18923,7.90050,Confirmed
TOI-1695 b,728,3.13428,1.90000,1236.00000,1.31100,6.36000,,0.03355,0.51000,0.52000,3690.00000,-1.35400,8.81800,39.00000,696.99002,5.55902,Confirmed
TOI-2102.01,729,6.70607,1.90781,558.43520,1.62888,,4.29870,0.06742,0.90900,0.80781,5292.00000,-0.33621,10.20100,101.44880,883.32720,1.53858,Candidate
TOI-1757.02,734,5.00967,1.64515,560.41596,0.94571,,3.34286,0.05071,0.69300,0.70716,4428.00000,-0.76144,9.60200,67.36680,797.39105,1.97980,Candidate
TOI-1806.03,735,0.50190,1.84519,1536.56831,0.94704,,4.06188,0.00906,0.39326,0.40158,3272.00000,-1.77852,10.01600,203.07512,1050.68869,12.25157,Candidate
TOI-6095.01,736,2.16132,1.86115,529.00000,1.28900,,4.12172,0.03159,0.90000,0.79735,5260.00000,-0.35806,8.90100,439.47967,1274.36717,5.65552,Candidate
TOI-6099.01,737,5.28876,1.81504,598.00000,2.28400,,3.94984,0.05349,0.73000,0.75231,4610.00000,-0.63770,7.87400,80.48812,833.66740,4.96353,Candidate
TOI-2096 b,738,3.11906,1.24300,2660.00000,1.07200,,2.07701,0.02500,0.23000,0.24000,3300.00000,-2.22800,11.02100,9.40000,488.19112,1.62490,Confirmed
TOI-2096 c,739,6.38784,1.91400,6360.00000,1.35400,,4.32240,0.04000,0.23000,0.24000,3300.00000,-2.22800,11.02100,3.70000,385.94897,1.48182,Confirmed
K2-415 b,740,4.01797,1.01500,2834.83000,0.99495,,1.02512,0.02700,0.16000,0.20000,3173.00000,-2.45500,9.89900,4.82000,412.21899,1.56143,Confirmed
TOI-6245.01,742,3.21499,0.90443,1438.82974,0.70227,,0.67800,0.02519,0.20635,0.23646,3106.00000,-2.32900,9.43800,7.38719,458.85945,1.56245,Candidate
TOI-283.01,743,17.61755,1.97079,685.00000,3.71600,,4.54239,0.12793,0.90000,0.81106,5245.00000,-0.34822,8.51700,27.40413,636.81589,1.77605,Candidate
TOI-4413.01,744,4.47199,1.07065,159.00000,2.50400,,1.24125,0.05185,0.93000,0.89406,5364.00000,-0.22462,8.52500,221.73981,1074.04084,1.42055,Candidate
TOI-6255.01,745,0.23818,0.96174,493.97640,0.47635,,0.84503,0.00533,0.35621,0.36908,3423.00000,-1.77344,8.07100,592.91813,1373.43642,15.12162,Candidate
TOI-6258.01,746,0.55709,1.21515,995.21721,0.99170,,1.95402,0.00950,0.36892,0.38016,3392.00000,-1.76356,9.67100,190.85854,1034.51734,8.59229,Candidate
EPIC 201497682.02,747,7.79983,1.37000,561.00000,3.00000,,2.45002,0.04374,,0.55000,4535.00000,-0.72880,11.43800,,874.84713,1.03066,Candidate
EPIC 212294561.01,748,2.76294,1.96499,520.00000,2.75800,,4.51970,0.03904,1.04000,0.79000,5794.00000,-0.20000,11.53000,413.93853,1255.43387,1.43723,Candidate
EPIC 212454160.01,749,0.87600,1.97696,146.00000,7.37208,,4.56657,0.01827,1.06000,1.50000,5849.00000,0.37400,11.25600,7088.87929,2553.90227,1.39188,Candidate
TOI-6263.01,750,3.01787,0.93254,193.00000,2.67900,,0.75662,0.03730,0.76000,0.71126,4717.00000,-0.64659,7.54500,162.20182,993.28484,2.68807,Candidate
TOI-6265.01,751,5.79354,1.53772,141.00000,3.39500,,2.98075,0.06854,1.28000,1.36801,6387.13000,0.44809,6.81000,597.23929,1375.93200,3.60819,Candidate
TOI-6266.01,752,2.78955,0.98648,262.00000,1.96900,,0.92556,0.03659,0.84000,0.74025,5039.00000,-0.49717,7.22700,237.70980,1092.87791,4.74911,Candidate
TOI-733 b,753,4.88476,1.99200,412.43000,2.61000,5.72000,,0.06180,0.96000,0.95000,5585.00000,-0.08600,7.84500,207.10000,1065.52990,4.72734,Confirmed
EPIC 249391469.01,754,1.07500,1.91632,950.00000,,,4.33129,0.01433,0.34000,0.57000,3503.00000,-1.35580,10.55400,214.51683,1065.18544,5.56031,Candidate
EPIC 246331418.01,755,3.35000,0.97000,630.00000,,,0.87134,0.02660,0.28000,0.43000,4408.00000,-1.20140,11.57100,88.88627,854.61114,1.06762,Candidate
